Train_ID,Train_Name,Source,Destination,Distance_km,Booking_Date,Departure_Time,Arrival_Time,Delay_Minutes,Ticket_Class,Ticket_Price,Passenger_Count
124,Chennai Express,Coimbatore,Trichy,349,01-05-2023,19:30,04:00,20,AC,1132,68
125,Rockfort Express,Trichy,Madurai,264,24-06-2023,03:30,02:00,36,AC,846,143
126,Kovai Express,Coimbatore,Bangalore,258,23-08-2023,08:00,01:30,0,General,329,73
127,Rockfort Express,Trichy,Chennai,220,07-04-2023,07:30,05:00,28,AC,794,90
128,Nilgiri Express,Bangalore,Chennai,393,05-10-2023,09:30,22:30,20,AC,725,216
129,Chennai Express,Coimbatore,Chennai,205,01-06-2023,23:30,14:30,20,Sleeper,428,66
130,Nilgiri Express,Coimbatore,Bangalore,257,09-05-2023,06:30,21:30,16,AC,1409,103
131,Pandian Express,Coimbatore,Madurai,384,11-02-2023,08:00,14:00,41,General,994,290
132,Coimbatore Express,Madurai,Salem,221,17-06-2023,05:30,18:30,15,Sleeper,506,189
133,Rockfort Express,Salem,Bangalore,505,17-02-2023,07:00,00:00,25,AC,848,191
134,Chennai Express,Chennai,Madurai,525,06-01-2023,09:30,15:30,55,AC,506,178
135,Kovai Express,Coimbatore,Chennai,540,30-03-2023,05:00,04:30,19,AC,1353,263
136,Pandian Express,Salem,Coimbatore,305,14-03-2023,17:00,10:00,11,Sleeper,1186,187
137,Intercity Express,Madurai,Chennai,541,07-05-2023,08:00,21:30,51,Sleeper,1424,114
138,Rockfort Express,Salem,Trichy,475,21-08-2023,00:30,10:00,16,Sleeper,349,253
139,Kovai Express,Bangalore,Trichy,209,01-02-2023,22:30,18:00,37,AC,583,116
140,Kovai Express,Coimbatore,Salem,405,30-03-2023,19:00,07:30,0,AC,1382,131
141,Intercity Express,Salem,Trichy,527,26-04-2023,07:30,15:30,14,General,1144,136
142,Intercity Express,Salem,Bangalore,534,21-05-2023,20:00,01:00,48,General,1055,90
143,Coimbatore Express,Salem,Madurai,352,21-12-2023,09:30,05:30,38,AC,552,279
144,Kovai Express,Salem,Bangalore,393,01-04-2023,04:30,13:00,60,General,406,176
145,Intercity Express,Bangalore,Trichy,526,28-06-2023,12:00,17:00,33,AC,822,210
146,Intercity Express,Chennai,Trichy,242,13-03-2023,19:00,14:00,54,Sleeper,1186,151
147,Nilgiri Express,Madurai,Trichy,264,15-11-2023,15:00,03:30,38,General,1136,282
148,Coimbatore Express,Chennai,Trichy,327,13-07-2023,23:00,06:30,37,AC,363,210
149,Rockfort Express,Salem,Madurai,333,16-04-2023,05:30,04:00,17,Sleeper,1499,243
150,Rockfort Express,Coimbatore,Salem,286,07-10-2023,11:30,13:00,49,AC,1468,275
151,Coimbatore Express,Trichy,Madurai,255,13-01-2023,03:00,17:30,43,General,579,69
152,Kovai Express,Salem,Coimbatore,359,12-08-2023,16:30,16:30,0,AC,1205,233
153,Coimbatore Express,Trichy,Coimbatore,476,24-07-2023,10:30,03:30,24,AC,1440,50
154,Intercity Express,Coimbatore,Bangalore,578,19-09-2023,06:30,19:30,59,General,925,229
155,Kovai Express,Madurai,Salem,542,29-09-2023,06:30,16:00,43,Sleeper,1486,159
156,Rockfort Express,Trichy,Coimbatore,518,27-10-2023,23:00,15:00,40,General,895,211
157,Intercity Express,Chennai,Salem,522,21-03-2023,20:30,08:00,49,AC,320,139
158,Rockfort Express,Coimbatore,Salem,550,06-10-2023,09:00,14:30,31,AC,1256,180
159,Kovai Express,Chennai,Trichy,250,30-10-2023,13:00,11:00,42,Sleeper,340,92
160,Intercity Express,Salem,Madurai,247,25-07-2023,20:30,19:30,13,General,725,110
161,Chennai Express,Coimbatore,Trichy,238,24-12-2023,16:30,14:00,10,Sleeper,1439,119
162,Intercity Express,Coimbatore,Bangalore,318,20-07-2023,17:30,05:30,50,Sleeper,975,233
163,Kovai Express,Madurai,Trichy,561,06-05-2023,21:00,19:30,20,Sleeper,808,251
164,Chennai Express,Coimbatore,Madurai,520,26-03-2023,18:30,18:00,38,Sleeper,1240,184
165,Rockfort Express,Madurai,Coimbatore,270,14-08-2023,11:30,12:00,7,General,722,233
166,Chennai Express,Bangalore,Coimbatore,254,27-04-2023,12:30,15:00,11,AC,413,257
167,Rockfort Express,Salem,Chennai,310,16-12-2023,01:30,22:30,21,General,862,80
168,Chennai Express,Salem,Madurai,313,24-07-2023,07:30,14:30,48,AC,774,110
169,Kovai Express,Coimbatore,Salem,496,19-07-2023,06:30,22:30,21,Sleeper,527,282
170,Chennai Express,Madurai,Chennai,207,03-01-2023,15:30,12:30,58,AC,1119,90
171,Rockfort Express,Bangalore,Madurai,215,08-01-2023,12:00,21:00,36,Sleeper,820,83
172,Intercity Express,Chennai,Salem,355,08-01-2023,01:00,16:00,2,Sleeper,540,160
173,Chennai Express,Chennai,Coimbatore,455,23-11-2023,04:30,21:00,42,Sleeper,1098,134
174,Coimbatore Express,Bangalore,Coimbatore,528,22-11-2023,07:00,01:00,22,Sleeper,1447,213
175,Coimbatore Express,Salem,Chennai,480,31-07-2023,17:00,22:30,58,General,443,232
176,Intercity Express,Coimbatore,Bangalore,585,07-02-2023,08:00,03:00,3,AC,1176,268
177,Intercity Express,Chennai,Madurai,246,20-09-2023,15:30,03:30,2,AC,1388,58
178,Nilgiri Express,Trichy,Madurai,590,29-12-2023,14:00,23:30,5,Sleeper,966,71
179,Rockfort Express,Coimbatore,Chennai,396,30-01-2023,23:30,10:00,16,Sleeper,539,269
180,Chennai Express,Bangalore,Coimbatore,417,06-05-2023,16:00,10:30,32,Sleeper,1496,173
181,Intercity Express,Chennai,Coimbatore,429,26-09-2023,17:00,09:00,12,Sleeper,1097,183
182,Nilgiri Express,Coimbatore,Chennai,376,06-03-2023,18:00,01:30,52,General,1392,130
183,Coimbatore Express,Trichy,Coimbatore,380,20-05-2023,10:00,16:00,9,Sleeper,966,250
184,Chennai Express,Coimbatore,Bangalore,431,24-05-2023,15:30,11:30,52,AC,1485,255
185,Chennai Express,Chennai,Coimbatore,468,09-09-2023,18:30,07:30,23,General,1058,153
186,Kovai Express,Coimbatore,Salem,374,30-09-2023,16:00,00:00,16,General,752,194
187,Pandian Express,Madurai,Chennai,592,30-07-2023,23:00,03:30,45,AC,718,116
188,Kovai Express,Chennai,Bangalore,528,10-02-2023,02:00,20:00,32,Sleeper,344,201
189,Intercity Express,Coimbatore,Salem,345,23-04-2023,06:30,07:30,28,General,1051,189
190,Intercity Express,Madurai,Salem,237,12-05-2023,13:00,00:30,32,Sleeper,456,153
191,Rockfort Express,Salem,Bangalore,496,27-10-2023,13:00,11:30,0,AC,913,228
192,Kovai Express,Bangalore,Chennai,261,04-06-2023,16:30,17:30,33,Sleeper,1410,290
193,Kovai Express,Salem,Trichy,522,25-10-2023,09:30,09:00,32,Sleeper,1500,85
194,Coimbatore Express,Salem,Madurai,525,05-01-2023,13:00,11:30,25,Sleeper,337,280
195,Rockfort Express,Chennai,Madurai,202,16-07-2023,08:30,08:30,40,General,1285,246
196,Nilgiri Express,Coimbatore,Salem,259,05-09-2023,11:00,13:00,1,AC,832,144
197,Rockfort Express,Madurai,Bangalore,347,31-07-2023,08:30,23:30,44,Sleeper,1187,135
198,Intercity Express,Trichy,Madurai,451,25-07-2023,22:30,02:00,8,AC,606,108
199,Chennai Express,Bangalore,Chennai,329,21-03-2023,15:00,12:00,53,AC,482,159
200,Kovai Express,Salem,Chennai,311,01-10-2023,13:30,01:00,47,General,1159,263
201,Coimbatore Express,Bangalore,Chennai,550,23-05-2023,05:30,22:00,50,AC,478,271
202,Intercity Express,Trichy,Chennai,429,31-05-2023,21:30,12:00,38,Sleeper,516,88
203,Intercity Express,Trichy,Bangalore,303,27-03-2023,16:30,13:30,55,Sleeper,1415,283
204,Coimbatore Express,Madurai,Bangalore,448,22-02-2023,00:30,22:30,3,General,1201,126
205,Kovai Express,Chennai,Coimbatore,340,19-05-2023,22:00,13:00,8,Sleeper,699,154
206,Chennai Express,Salem,Bangalore,472,08-11-2023,16:00,13:30,17,Sleeper,926,118
207,Nilgiri Express,Trichy,Madurai,388,03-11-2023,15:00,10:00,38,AC,1488,227
208,Pandian Express,Trichy,Bangalore,229,16-09-2023,10:00,20:00,20,General,1311,172
209,Pandian Express,Coimbatore,Chennai,271,24-12-2023,08:00,02:00,36,AC,537,107
210,Kovai Express,Salem,Madurai,490,04-12-2023,09:30,10:00,49,AC,925,260
211,Chennai Express,Salem,Madurai,580,25-04-2023,08:30,08:30,1,AC,975,138
212,Coimbatore Express,Madurai,Chennai,594,15-03-2023,21:00,11:00,5,General,511,126
213,Coimbatore Express,Coimbatore,Madurai,471,26-01-2023,11:00,02:00,59,Sleeper,1061,289
214,Chennai Express,Bangalore,Madurai,547,18-06-2023,08:00,16:30,60,AC,1021,286
215,Kovai Express,Bangalore,Madurai,338,27-07-2023,02:30,18:30,34,Sleeper,916,279
216,Kovai Express,Madurai,Trichy,268,28-01-2023,19:00,05:00,13,Sleeper,862,189
217,Kovai Express,Chennai,Trichy,338,29-09-2023,08:30,04:30,45,AC,1064,67
218,Coimbatore Express,Bangalore,Salem,478,12-10-2023,23:00,19:30,28,General,570,89
219,Pandian Express,Chennai,Bangalore,546,21-04-2023,15:30,11:30,10,AC,1081,263
220,Chennai Express,Trichy,Salem,507,16-03-2023,08:30,21:00,34,AC,571,147
221,Chennai Express,Bangalore,Salem,435,16-01-2023,13:30,08:30,26,Sleeper,1246,63
222,Rockfort Express,Chennai,Salem,219,27-11-2023,22:00,01:00,37,AC,1386,180
223,Coimbatore Express,Coimbatore,Bangalore,600,18-10-2023,20:30,15:00,59,General,791,77
224,Rockfort Express,Salem,Coimbatore,281,01-03-2023,01:30,13:30,16,General,414,207
225,Nilgiri Express,Trichy,Salem,383,31-05-2023,10:30,22:00,40,General,1362,86
226,Intercity Express,Chennai,Trichy,258,20-09-2023,05:30,10:00,37,AC,1283,279
227,Intercity Express,Madurai,Salem,289,23-07-2023,22:00,03:00,21,Sleeper,802,250
228,Intercity Express,Bangalore,Trichy,441,09-07-2023,15:00,13:30,25,General,546,196
229,Rockfort Express,Trichy,Coimbatore,264,18-03-2023,00:30,13:00,51,AC,452,290
230,Rockfort Express,Madurai,Salem,393,08-12-2023,16:30,04:00,33,AC,821,54
231,Rockfort Express,Trichy,Salem,524,27-12-2023,23:00,17:30,0,General,810,158
232,Coimbatore Express,Madurai,Coimbatore,539,03-05-2023,02:00,05:30,37,AC,1350,105
233,Rockfort Express,Trichy,Madurai,220,22-09-2023,23:00,22:00,15,Sleeper,1252,80
234,Nilgiri Express,Salem,Chennai,245,14-10-2023,03:30,01:00,49,AC,342,294
235,Coimbatore Express,Coimbatore,Salem,570,01-08-2023,05:00,17:30,49,General,1218,178
236,Pandian Express,Trichy,Bangalore,557,22-07-2023,22:30,06:30,52,Sleeper,1037,287
237,Kovai Express,Madurai,Trichy,343,31-03-2023,23:00,23:30,21,AC,829,115
238,Nilgiri Express,Coimbatore,Trichy,342,17-10-2023,14:00,04:00,16,AC,702,68
239,Kovai Express,Salem,Bangalore,301,06-10-2023,13:00,18:00,35,Sleeper,1101,232
240,Intercity Express,Madurai,Chennai,239,20-03-2023,21:00,00:30,24,Sleeper,581,201
241,Intercity Express,Salem,Madurai,475,07-10-2023,02:00,12:00,18,AC,1113,141
242,Pandian Express,Bangalore,Madurai,352,30-12-2023,04:30,15:30,5,General,912,103
243,Chennai Express,Bangalore,Trichy,348,15-11-2023,18:00,19:30,48,Sleeper,822,208
244,Rockfort Express,Chennai,Madurai,600,11-06-2023,05:00,20:00,7,Sleeper,803,240
245,Kovai Express,Madurai,Bangalore,403,04-03-2023,22:00,12:00,52,General,1484,115
246,Intercity Express,Bangalore,Chennai,261,14-04-2023,18:30,21:30,34,General,772,118
247,Intercity Express,Chennai,Coimbatore,543,11-10-2023,16:00,13:30,49,General,1162,152
248,Chennai Express,Coimbatore,Salem,542,08-03-2023,05:00,14:00,31,AC,1106,260
249,Rockfort Express,Bangalore,Salem,372,05-05-2023,03:00,21:00,54,Sleeper,1204,98
250,Kovai Express,Madurai,Bangalore,297,18-09-2023,12:30,06:00,23,General,1500,243
251,Chennai Express,Chennai,Trichy,434,23-01-2023,19:00,04:30,30,AC,1494,178
252,Nilgiri Express,Chennai,Bangalore,247,24-07-2023,16:30,12:30,57,Sleeper,1263,296
253,Rockfort Express,Chennai,Bangalore,444,09-01-2023,13:30,18:30,50,AC,1438,267
254,Rockfort Express,Coimbatore,Chennai,510,04-07-2023,13:30,16:00,36,General,532,59
255,Chennai Express,Salem,Bangalore,251,20-06-2023,10:30,17:00,40,Sleeper,1493,68
256,Rockfort Express,Trichy,Chennai,476,17-08-2023,10:00,05:30,23,AC,599,279
257,Kovai Express,Salem,Madurai,255,26-07-2023,10:30,11:30,54,Sleeper,1054,59
258,Rockfort Express,Bangalore,Chennai,522,07-05-2023,08:30,17:30,36,General,470,69
259,Coimbatore Express,Bangalore,Madurai,411,12-02-2023,04:30,17:30,15,AC,502,120
260,Chennai Express,Bangalore,Trichy,577,20-09-2023,09:00,17:00,35,Sleeper,995,287
261,Pandian Express,Coimbatore,Bangalore,218,15-08-2023,11:00,00:30,26,General,635,277
262,Intercity Express,Salem,Chennai,501,26-12-2023,21:30,05:00,14,AC,566,299
263,Chennai Express,Salem,Bangalore,569,17-05-2023,14:00,01:30,29,Sleeper,1026,106
264,Chennai Express,Bangalore,Chennai,450,17-01-2023,05:30,17:00,0,AC,473,184
265,Kovai Express,Madurai,Chennai,302,18-04-2023,14:30,07:30,32,Sleeper,965,150
266,Pandian Express,Bangalore,Chennai,504,03-04-2023,06:30,18:30,39,Sleeper,1044,55
267,Chennai Express,Trichy,Chennai,537,17-11-2023,18:30,22:30,21,AC,1160,99
268,Rockfort Express,Bangalore,Salem,453,08-11-2023,18:30,19:30,38,Sleeper,638,263
269,Coimbatore Express,Coimbatore,Bangalore,488,22-07-2023,19:30,08:30,0,General,393,250
270,Coimbatore Express,Trichy,Salem,318,18-09-2023,14:00,22:30,59,Sleeper,596,148
271,Intercity Express,Trichy,Chennai,256,02-07-2023,00:30,17:00,19,Sleeper,330,133
272,Kovai Express,Coimbatore,Trichy,225,17-04-2023,22:00,10:00,42,General,435,82
273,Nilgiri Express,Bangalore,Coimbatore,511,24-06-2023,07:00,20:00,48,General,1475,214
274,Coimbatore Express,Coimbatore,Trichy,393,04-08-2023,16:30,02:00,26,AC,386,208
275,Pandian Express,Madurai,Coimbatore,565,22-07-2023,12:00,19:00,46,Sleeper,1037,50
276,Nilgiri Express,Bangalore,Coimbatore,454,29-03-2023,21:00,00:30,27,General,1000,273
277,Coimbatore Express,Salem,Trichy,509,27-02-2023,18:30,17:30,27,AC,936,242
278,Chennai Express,Chennai,Salem,456,23-04-2023,19:30,13:30,50,AC,411,76
279,Kovai Express,Salem,Bangalore,461,25-03-2023,04:30,01:00,13,AC,426,158
280,Chennai Express,Bangalore,Chennai,228,05-01-2023,01:30,10:00,39,AC,1444,104
281,Coimbatore Express,Trichy,Madurai,351,25-10-2023,17:30,07:00,13,Sleeper,422,111
282,Chennai Express,Salem,Trichy,369,17-06-2023,13:00,00:00,32,General,491,244
283,Pandian Express,Madurai,Coimbatore,290,05-06-2023,03:00,10:00,4,Sleeper,607,109
284,Coimbatore Express,Chennai,Trichy,229,29-10-2023,02:30,06:00,42,AC,544,64
285,Intercity Express,Madurai,Chennai,572,01-03-2023,02:00,09:30,33,Sleeper,809,234
286,Rockfort Express,Chennai,Trichy,299,16-06-2023,11:30,14:30,55,General,1091,72
287,Rockfort Express,Trichy,Madurai,450,25-06-2023,05:00,07:00,49,Sleeper,867,186
288,Rockfort Express,Coimbatore,Trichy,389,29-07-2023,14:30,11:30,25,Sleeper,1347,54
289,Coimbatore Express,Coimbatore,Madurai,286,04-06-2023,18:00,17:00,10,Sleeper,611,84
290,Rockfort Express,Madurai,Chennai,513,10-05-2023,07:30,20:30,10,Sleeper,1268,129
291,Pandian Express,Chennai,Salem,481,30-06-2023,14:00,04:30,4,General,682,172
292,Chennai Express,Salem,Chennai,571,09-04-2023,20:30,23:30,32,Sleeper,1331,210
293,Coimbatore Express,Bangalore,Coimbatore,534,03-03-2023,05:30,01:30,56,General,730,65
294,Coimbatore Express,Madurai,Trichy,488,26-07-2023,07:30,01:00,60,Sleeper,1464,51
295,Pandian Express,Madurai,Chennai,314,08-07-2023,16:30,04:00,14,AC,937,196
296,Kovai Express,Salem,Bangalore,507,05-10-2023,13:30,18:30,11,General,1028,100
297,Coimbatore Express,Trichy,Chennai,305,28-04-2023,04:00,06:00,10,Sleeper,1043,97
298,Chennai Express,Chennai,Trichy,512,02-05-2023,21:00,02:30,41,General,702,204
299,Kovai Express,Coimbatore,Madurai,553,10-12-2023,22:00,06:30,56,Sleeper,1430,59
300,Nilgiri Express,Chennai,Trichy,486,28-06-2023,04:30,02:30,42,General,1461,221
301,Coimbatore Express,Coimbatore,Bangalore,493,15-02-2023,15:30,13:00,16,AC,961,54
302,Pandian Express,Madurai,Trichy,360,15-05-2023,08:30,15:30,60,AC,903,91
303,Chennai Express,Bangalore,Coimbatore,259,09-08-2023,13:00,08:30,49,General,1458,176
304,Kovai Express,Salem,Coimbatore,331,12-12-2023,05:30,04:30,6,Sleeper,1030,183
305,Intercity Express,Bangalore,Salem,298,22-07-2023,14:00,15:00,2,General,807,70
306,Chennai Express,Bangalore,Chennai,465,17-09-2023,15:30,22:30,58,General,649,194
307,Nilgiri Express,Bangalore,Trichy,206,17-07-2023,17:30,05:30,3,General,1054,260
308,Pandian Express,Coimbatore,Salem,552,27-11-2023,21:30,02:30,48,Sleeper,699,91
309,Rockfort Express,Madurai,Salem,223,06-07-2023,18:30,05:30,30,AC,1479,109
310,Nilgiri Express,Salem,Chennai,535,25-03-2023,16:00,12:30,7,Sleeper,836,85
311,Pandian Express,Madurai,Trichy,292,13-11-2023,16:30,07:30,29,Sleeper,1345,191
312,Kovai Express,Coimbatore,Madurai,515,17-09-2023,09:00,09:00,43,AC,997,80
313,Intercity Express,Trichy,Salem,535,20-09-2023,23:00,19:30,28,General,1205,143
314,Chennai Express,Madurai,Chennai,569,24-02-2023,03:30,04:30,25,AC,1272,164
315,Chennai Express,Salem,Bangalore,500,10-04-2023,18:30,15:30,18,Sleeper,655,265
316,Pandian Express,Salem,Coimbatore,597,15-01-2023,17:00,21:00,59,General,770,164
317,Coimbatore Express,Coimbatore,Salem,581,22-02-2023,12:00,23:30,17,Sleeper,1252,134
318,Pandian Express,Salem,Chennai,405,05-10-2023,13:30,16:00,20,AC,1016,298
319,Pandian Express,Madurai,Bangalore,315,21-04-2023,14:00,03:00,27,AC,1228,88
320,Coimbatore Express,Coimbatore,Bangalore,343,23-07-2023,00:30,15:30,19,General,920,214
321,Coimbatore Express,Salem,Trichy,585,29-05-2023,05:00,15:00,28,AC,1239,77
322,Kovai Express,Salem,Chennai,363,11-06-2023,15:30,23:30,35,General,1247,132
323,Rockfort Express,Trichy,Salem,474,22-04-2023,05:00,17:00,54,General,802,63
324,Rockfort Express,Coimbatore,Bangalore,231,18-06-2023,13:00,11:30,23,General,1137,103
325,Coimbatore Express,Coimbatore,Madurai,403,24-12-2023,12:00,00:30,41,Sleeper,755,109
326,Coimbatore Express,Chennai,Bangalore,396,15-04-2023,22:30,03:30,0,Sleeper,490,256
327,Chennai Express,Trichy,Madurai,473,02-04-2023,10:00,12:30,20,General,1370,299
328,Pandian Express,Coimbatore,Madurai,281,26-03-2023,17:00,04:00,28,General,1369,83
329,Rockfort Express,Trichy,Madurai,370,07-11-2023,23:30,19:00,1,Sleeper,656,107
330,Kovai Express,Madurai,Salem,450,18-01-2023,20:00,04:30,36,AC,728,142
331,Coimbatore Express,Bangalore,Madurai,579,28-06-2023,02:30,15:00,33,Sleeper,703,234
332,Intercity Express,Madurai,Coimbatore,202,23-12-2023,09:00,08:00,4,AC,525,271
333,Chennai Express,Trichy,Coimbatore,428,23-10-2023,16:30,21:30,9,Sleeper,1060,215
334,Nilgiri Express,Coimbatore,Salem,423,08-07-2023,17:00,06:00,9,AC,791,55
335,Nilgiri Express,Madurai,Salem,515,14-08-2023,18:00,01:00,52,General,315,61
336,Nilgiri Express,Trichy,Coimbatore,267,01-05-2023,22:30,13:30,37,General,396,179
337,Intercity Express,Trichy,Madurai,467,06-07-2023,18:00,11:00,53,AC,555,161
338,Coimbatore Express,Madurai,Chennai,266,19-03-2023,09:00,15:00,30,AC,1182,73
339,Kovai Express,Trichy,Bangalore,456,19-02-2023,04:30,20:30,15,General,1077,172
340,Nilgiri Express,Bangalore,Coimbatore,259,04-02-2023,06:30,03:00,22,AC,701,78
341,Chennai Express,Bangalore,Salem,201,20-09-2023,13:00,02:30,31,General,426,196
342,Coimbatore Express,Trichy,Bangalore,400,18-11-2023,01:00,08:30,28,AC,850,282
343,Nilgiri Express,Coimbatore,Salem,473,29-01-2023,08:00,23:30,29,Sleeper,1498,201
344,Kovai Express,Madurai,Trichy,537,23-07-2023,21:30,21:30,30,General,751,128
345,Pandian Express,Chennai,Madurai,452,01-03-2023,11:30,09:30,8,AC,1327,85
346,Nilgiri Express,Trichy,Chennai,440,19-10-2023,10:30,04:00,34,AC,850,209
347,Coimbatore Express,Chennai,Salem,206,28-11-2023,08:00,18:30,7,AC,959,204
348,Nilgiri Express,Salem,Bangalore,246,09-11-2023,15:30,18:00,12,AC,413,207
349,Chennai Express,Chennai,Madurai,484,29-09-2023,09:00,05:00,14,AC,483,178
350,Nilgiri Express,Coimbatore,Bangalore,336,11-11-2023,04:30,18:00,4,General,842,64
351,Kovai Express,Chennai,Salem,344,01-09-2023,13:30,02:00,13,General,369,288
352,Rockfort Express,Bangalore,Trichy,412,01-07-2023,11:00,05:00,14,AC,1048,67
353,Rockfort Express,Trichy,Coimbatore,311,23-04-2023,08:00,22:30,6,Sleeper,303,170
354,Rockfort Express,Coimbatore,Trichy,559,30-05-2023,06:00,22:30,42,AC,1083,167
355,Pandian Express,Salem,Chennai,318,10-09-2023,20:00,09:30,12,General,983,75
356,Nilgiri Express,Madurai,Coimbatore,494,01-03-2023,05:30,11:30,25,General,1163,264
357,Rockfort Express,Chennai,Salem,272,06-08-2023,04:00,09:30,39,Sleeper,495,101
358,Nilgiri Express,Salem,Coimbatore,504,05-08-2023,08:00,10:00,35,General,1401,250
359,Kovai Express,Coimbatore,Chennai,538,19-02-2023,11:30,08:00,18,AC,473,154
360,Chennai Express,Bangalore,Trichy,445,26-10-2023,23:00,17:30,31,AC,1343,57
361,Nilgiri Express,Trichy,Chennai,507,13-02-2023,07:00,14:00,18,General,381,138
362,Chennai Express,Chennai,Madurai,223,27-10-2023,09:30,09:00,34,Sleeper,1032,267
363,Intercity Express,Coimbatore,Madurai,381,27-09-2023,07:30,19:00,15,General,745,129
364,Coimbatore Express,Coimbatore,Bangalore,565,04-06-2023,18:00,21:30,16,General,771,87
365,Chennai Express,Madurai,Coimbatore,332,24-07-2023,06:00,05:00,20,Sleeper,732,90
366,Pandian Express,Chennai,Salem,405,27-02-2023,22:30,07:30,32,General,1213,136
367,Chennai Express,Chennai,Madurai,318,03-03-2023,16:30,22:30,0,General,643,167
368,Chennai Express,Trichy,Bangalore,298,08-01-2023,07:30,06:30,58,Sleeper,840,285
369,Coimbatore Express,Coimbatore,Trichy,224,15-01-2023,00:30,01:00,4,Sleeper,1226,219
370,Pandian Express,Coimbatore,Chennai,544,26-02-2023,06:00,06:00,39,General,352,162
371,Kovai Express,Bangalore,Chennai,316,01-09-2023,05:00,07:00,4,AC,580,132
372,Kovai Express,Salem,Chennai,476,14-05-2023,06:30,00:30,22,Sleeper,1411,148
373,Kovai Express,Trichy,Bangalore,473,27-08-2023,08:00,05:30,36,Sleeper,572,280
374,Kovai Express,Salem,Madurai,213,22-09-2023,01:30,04:00,20,Sleeper,383,275
375,Nilgiri Express,Trichy,Bangalore,457,03-02-2023,22:00,04:30,34,Sleeper,1414,119
376,Pandian Express,Salem,Chennai,299,05-06-2023,22:30,09:00,59,General,846,98
377,Intercity Express,Salem,Bangalore,473,25-03-2023,07:00,06:30,10,AC,1124,277
378,Pandian Express,Coimbatore,Chennai,250,21-01-2023,22:30,15:00,60,AC,1459,169
379,Rockfort Express,Bangalore,Chennai,539,27-07-2023,07:00,04:30,32,Sleeper,1310,181
380,Nilgiri Express,Bangalore,Coimbatore,498,08-05-2023,14:30,12:30,24,General,768,146
381,Pandian Express,Salem,Chennai,551,04-11-2023,20:30,02:00,26,General,1311,65
382,Intercity Express,Trichy,Chennai,531,30-04-2023,14:30,16:00,56,Sleeper,375,120
383,Rockfort Express,Salem,Bangalore,514,21-06-2023,04:00,13:30,45,Sleeper,798,175
384,Chennai Express,Bangalore,Trichy,456,11-05-2023,03:30,08:00,36,AC,964,210
385,Pandian Express,Salem,Madurai,350,11-02-2023,05:30,11:30,40,Sleeper,1266,220
386,Kovai Express,Bangalore,Chennai,450,16-10-2023,02:00,01:00,17,AC,850,129
387,Nilgiri Express,Madurai,Bangalore,516,15-12-2023,10:00,14:30,15,AC,1008,238
388,Chennai Express,Bangalore,Chennai,425,20-09-2023,06:30,04:00,14,AC,1108,60
389,Chennai Express,Madurai,Trichy,432,03-10-2023,19:00,01:30,14,Sleeper,1363,298
390,Rockfort Express,Trichy,Madurai,220,06-11-2023,22:30,13:30,32,Sleeper,856,163
